キャッシュフロー,取引先,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,合計 (2025-01　~　2025-12),2026/01,2026/02,2026/03,2026/04,2026/05,2026/06,2026/07,2026/08,2026/09,2026/10,2026/11,2026/12,合計（202601~12）,
,株式会社日本経営総合研究所,¥0,"¥2,475,000","¥2,475,000","¥6,875,000","¥6,875,000",¥0,¥0,¥0,¥0,¥0,¥0,"¥1,070,000","¥19,770,000","¥1,070,000","¥1,070,000","¥1,070,000",,,,,,,,,,"¥3,210,000",
,株式会社日本経営総合研究所(保守運用),¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,"¥150,000","¥150,000","¥300,000","¥150,000","¥225,000","¥225,000","¥225,000","¥225,000","¥225,000","¥225,000","¥225,000","¥225,000","¥225,000","¥225,000","¥225,000","¥2,625,000","¥5,835,000"
,ボンギンカン株式会社（Solvere等）,"¥1,320,000","¥660,000",¥0,¥0,"¥935,000","¥385,000","¥440,000","¥660,000","¥220,000","¥220,000","¥220,000","¥220,000","¥5,280,000",,,,,,,,,,,,,¥0,
,ボンギンカン株式会社(DXC),,,,,,,"¥1,232,000","¥1,232,000","¥1,232,000","¥2,200,000","¥2,200,000","¥2,200,000","¥10,296,000",,"¥2,200,000",,,,,,,,,,,"¥2,200,000",
,ボンギンカン株式会社（HTS）,,,,,,,,,,,¥0,"¥1,000,000","¥1,000,000",,"¥1,500,000",,,,,,,,,,,"¥1,500,000",
,ボンギンカン株式会社（複業クラウド）,,,,,,,,,,,,,,,"¥40,000","¥40,000","¥40,000","¥40,000","¥40,000","¥40,000","¥40,000","¥40,000","¥40,000","¥40,000","¥40,000","¥440,000",
,HTソリューション_SES,,,,,,,,,,,,,,,"¥500,000","¥500,000","¥500,000",,,,,,,,,"¥1,500,000",
,HTソリューション_SES,,,,,,,,,,,,,,,,"¥950,000","¥950,000","¥950,000",,,,,,,,"¥2,850,000",
,HTソリューション_SES_ファイルメーカー,,,,,,,,,,,,,,,,"¥700,000","¥700,000",,,,,,,,,"¥1,400,000","¥7,250,000"
,ビナテック株式会社,,,,,,,,,,,,,,,,,"¥1,370,000","¥1,370,000","¥1,370,000","¥1,370,000","¥1,370,000","¥1,370,000","¥1,370,000","¥1,370,000","¥1,370,000","¥12,330,000","¥16,440,000"
,株式会社レント,,,,,,,,,,,,,,,,,"¥1,090,000","¥1,080,000","¥1,080,000","¥1,090,000","¥1,080,000","¥1,080,000",,,,"¥6,500,000",
,株式会社Kiei,,,,,,,,,,,"¥825,000",¥0,"¥825,000",,,,,,,,,,,,,¥0,
,株式会社カトルセ,¥0,¥0,¥0,¥0,¥0,¥0,¥0,"¥866,250","¥866,250","¥866,250","¥866,250",¥0,"¥3,465,000",,,,,,,,,,,,,¥0,
,株式会社ストラスト,¥0,¥0,¥0,"¥1,650,000",¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,"¥1,650,000",,,,,,,,,,,,,¥0,
,株式会社Faber Company,¥0,¥0,¥0,¥0,"¥110,000","¥220,000","¥220,000","¥220,000","¥220,000","¥220,000","¥220,000","¥220,000","¥1,650,000","¥200,000","¥200,000","¥200,000","¥200,000","¥200,000","¥200,000","¥200,000","¥200,000","¥200,000","¥200,000","¥200,000","¥200,000","¥2,400,000",
,一般社団法人エデュコ,¥0,"¥110,000","¥110,000","¥110,000","¥110,000","¥110,000","¥110,000","¥110,000","¥110,000","¥110,000","¥110,000","¥110,000","¥1,210,000","¥100,000","¥100,000","¥100,000","¥100,000","¥100,000","¥100,000","¥100,000","¥100,000","¥100,000","¥100,000","¥100,000","¥100,000","¥1,200,000",
,株式会社ROSSO,¥0,¥0,¥0,¥0,¥0,¥0,"¥330,000",¥0,¥0,¥0,¥0,¥0,"¥330,000",,,,,,,,,,,,,¥0,
,黒宮大貴,¥0,"¥275,000",¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,"¥275,000",,,,,,,,,,,,,¥0,
,株式会社AIworker,¥0,¥0,¥0,¥0,"¥165,000",¥0,¥0,¥0,¥0,¥0,¥0,¥0,"¥165,000",,,,,,,,,,,,,¥0,
,永峯千加,¥0,¥0,¥0,"¥47,540",¥0,¥0,¥0,"¥47,540",¥0,¥0,¥0,¥0,"¥95,080",,,,,,,,,,,,,¥0,
,ファンブック株式会社,"¥66,000",¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,"¥66,000",,,,,,,,,,,,,¥0,
