"損益レポート (2025年03月~2026年02月）"
"取引先","2025-03","2025-04","2025-05","2025-06","2025-07","2025-08","2025-09","2025-10","2025-11","2025-12","2026-01","2026-02","合計 (2025-03　~　2026-02)"
"株式会社日本経営総合研究所","2475000","6875000","6875000","0","0","0","0","0","165000","165000","1424500","0","17979500"
"ボンギンカン株式会社","0","0","935000","385000","1672000","1892000","1672000","2420000","2304500","165000","4059000","0","15504500"
"株式会社カトルセ","0","0","0","0","0","866250","866250","866250","866250","0","0","0","3465000"
"株式会社Faber Company","0","0","110000","220000","220000","220000","220000","220000","220000","220000","0","0","1650000"
"HTソリューション株式会社","0","0","0","0","0","0","0","0","0","0","1320000","0","1320000"
"一般社団法人エデュコ","110000","110000","110000","110000","110000","110000","110000","110000","110000","110000","0","0","1100000"
"株式会社Kiei","0","0","0","0","0","0","0","825000","0","0","0","0","825000"
"株式会社ROSSO","0","0","0","0","330000","0","0","0","0","0","0","0","330000"
"株式会社AIworker","0","0","165000","0","0","0","0","0","0","0","0","0","165000"
"株式会社スペースデータ","0","0","0","0","0","0","0","0","165000","0","0","0","165000"
"黒宮大貴","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Suno, Inc.","0","0","0","0","0","0","-1535","0","0","0","0","0","-1535"
"felo株式会社","0","-2099","0","0","0","0","0","0","0","0","0","0","-2099"
"永峯千加","0","-1961","0","0","0","-1960","0","0","0","0","0","0","-3921"
"日本交通株式会社","0","0","0","0","0","-4100","0","0","0","0","0","0","-4100"
"株式会社スリーエース","0","0","0","0","-4800","0","0","0","0","0","0","0","-4800"
"株式会社スニフアウト","0","0","0","-1000","-4000","0","0","0","0","0","0","0","-5000"
"株式会社ZEALS","0","0","0","0","0","0","-7350","0","0","0","0","0","-7350"
"コミュニティ・ネットワーク株式会社","0","0","0","0","0","-8550","0","0","0","0","0","0","-8550"
"赤堀堂馬","0","0","0","0","-11000","0","0","0","0","0","0","0","-11000"
"Twitter Global LCC","0","0","0","0","0","0","-6080","-6080","0","-6080","0","0","-18240"
"Side Guide Technologies Inc.","-2957","-2947","-2858","-2821","-2825","-2956","-2917","0","0","0","0","0","-20281"
"銀座高岡法律事務所","0","0","0","0","0","0","-22000","0","0","0","0","0","-22000"
"HeyGen","0","0","0","0","0","0","-4483","-18647","0","0","0","0","-23130"
"Canva Pty Ltd","-2700","-4800","-2700","-2700","-2700","-2700","-4200","-2700","0","0","0","0","-25200"
"HANABI AI Inc.","0","0","0","0","-18381","0","-2313","0","-2431","-2417","0","0","-25542"
"三宅坂総合法律事務所","0","-33000","0","0","0","0","0","0","0","0","0","0","-33000"
"LangChain Inc.","0","0","0","0","0","0","0","0","0","0","0","-38525","-38525"
"市川淳","0","0","0","0","0","0","0","0","0","0","-41250","0","-41250"
"工藤和也","0","0","0","0","0","0","0","0","-44000","0","0","0","-44000"
"株式会社ペライチ","0","0","0","-47282","0","0","0","0","0","0","0","0","-47282"
"一般社団法人ABLab","-5000","-5000","-5000","-5000","-5000","-5000","-5000","-5000","-5000","-5000","-5000","0","-55000"
"tldx Solutions GmbH","-3898","-3795","-3767","-3763","-3829","-3803","-3864","-5526","-20834","-10503","0","0","-63582"
"株式会社NXワンビシアーカイブズ","0","0","0","-66000","0","0","0","0","0","0","0","0","-66000"
"エックスサーバー株式会社","0","0","0","0","0","0","0","0","-67800","0","0","0","-67800"
"日本XREAL株式会社","-69980","0","0","0","0","0","0","0","0","0","0","0","-69980"
"なつのロケット団","0","0","0","0","-10000","-10000","-10000","-10000","-10000","-10000","-10000","0","-70000"
"㈲シーワークス","0","0","0","-82500","0","0","0","0","0","0","0","0","-82500"
"BUTTERFLY EFFECT PTE. LTD.","0","-30831","-5757","-5808","-5820","-6065","-5927","-5985","-6209","-6296","-6312","0","-85010"
"Linear Orbit Inc","0","0","0","0","0","0","-88835","0","0","0","0","0","-88835"
"株式会社Kanda Quantum","0","-32830","0","0","-32289","0","0","-32920","0","0","0","0","-98039"
"Slack Technologies Limited,","-1156","-1156","-3465","-3465","-3465","-3465","-20899","-15631","-17325","-21175","-16430","0","-107632"
"Supabase Inc","0","0","-3806","-6965","-11431","-11999","-12744","-13453","-14958","-17117","-18846","0","-111319"
"アンビシャス東京法律事務所","0","0","0","0","0","0","0","0","0","-44000","-88000","0","-132000"
"ネクストイノベーション経営者倶楽部","-13000","-13000","-13000","-13000","-13000","-13000","-13000","-13000","-13000","-13000","-13000","0","-143000"
"Vercel Inc.","-9301","-9263","-8895","-9696","-5969","-6220","-9131","-18558","-19154","-22629","-16184","-12767","-147767"
"Anthropic, PBC","-6183","-2952","-16944","-2969","-8933","-10674","-10688","-3048","-16186","-29001","-52860","0","-160438"
"タケダ梨花","0","0","0","0","0","0","0","0","0","0","-177466","0","-177466"
"フリー株式会社","-7813","-4290","-4290","-83226","-4290","-4290","-4290","-4290","-4290","-4290","-84964","0","-210323"
"Google Asia Pacific Pte.Ltd.,","-9874","-9874","-9874","-9874","-9874","-12988","-19976","-25142","-28068","-28068","-26379","-25978","-215969"
"Notion Labs, Inc.,","-8346","-7140","-7410","-7209","-7361","-13953","-27136","-42925","-42276","-39036","-26636","0","-229428"
