"損益レポート (2025年01月~2025年12月）"
"取引先","2025-01","2025-02","2025-03","2025-04","2025-05","2025-06","2025-07","2025-08","2025-09","2025-10","2025-11","2025-12","合計 (2025-01　~　2025-12)"
"株式会社ACN経営研究所","0","2475000","2475000","6875000","6875000","0","0","0","0","0","165000","165000","19030000"
"ボンギンカン株式会社","1320000","660000","0","0","935000","385000","1672000","1892000","1672000","2420000","2304500","165000","13425500"
"株式会社カトルセ","0","0","0","0","0","0","0","866250","866250","866250","866250","0","3465000"
"株式会社Faber Company","0","0","0","0","110000","220000","220000","220000","220000","220000","220000","220000","1650000"
"一般社団法人エデュコ","0","110000","110000","110000","110000","110000","110000","110000","110000","110000","110000","110000","1210000"
"株式会社Kiei","0","0","0","0","0","0","0","0","0","825000","0","0","825000"
"株式会社ROSSO","0","0","0","0","0","0","330000","0","0","0","0","0","330000"
"黒宮大貴","0","275000","0","0","0","0","0","0","0","0","0","0","275000"
"株式会社AIworker","0","0","0","0","165000","0","0","0","0","0","0","0","165000"
"株式会社スペースデータ","0","0","0","0","0","0","0","0","0","0","165000","0","165000"
"ファンブック株式会社","66000","0","0","0","0","0","0","0","0","0","0","0","66000"
"Suno, Inc.","0","0","0","0","0","0","0","0","-1535","0","0","0","-1535"
"FoundDesign 岡田","-1581","0","0","0","0","0","0","0","0","0","0","0","-1581"
"felo株式会社","0","0","0","-2099","0","0","0","0","0","0","0","0","-2099"
"永峯千加","0","0","0","-1961","0","0","0","-1960","0","0","0","0","-3921"
"日本交通株式会社","0","0","0","0","0","0","0","-4100","0","0","0","0","-4100"
"株式会社スリーエース","0","0","0","0","0","0","-4800","0","0","0","0","0","-4800"
"株式会社スニフアウト","0","0","0","0","0","-1000","-4000","0","0","0","0","0","-5000"
"株式会社ZEALS","0","0","0","0","0","0","0","0","-7350","0","0","0","-7350"
"さくらインターネット株式会社","0","-7700","0","0","0","0","0","0","0","0","0","0","-7700"
"コミュニティ・ネットワーク株式会社","0","0","0","0","0","0","0","-8550","0","0","0","0","-8550"
"細金恒希事務所","-10800","0","0","0","0","0","0","0","0","0","0","0","-10800"
"赤堀堂馬","0","0","0","0","0","0","-11000","0","0","0","0","0","-11000"
"Twitter Global LCC","0","0","0","0","0","0","0","0","-6080","-6080","0","-6080","-18240"
"Side Guide Technologies Inc.","0","0","-2957","-2947","-2858","-2821","-2825","-2956","-2917","0","0","0","-20281"
"銀座高岡法律事務所","0","0","0","0","0","0","0","0","-22000","0","0","0","-22000"
"HANABI AI Inc.","0","0","0","0","0","0","-18381","0","-2313","0","-2431","-2417","-25542"
"Canva Pty Ltd","-2700","-2700","-2700","-4800","-2700","-2700","-2700","-2700","-4200","-2700","0","0","-30600"
"三宅坂総合法律事務所","0","0","0","-33000","0","0","0","0","0","0","0","0","-33000"
"HeyGen","-12703","0","0","0","0","0","0","0","-4483","-18647","0","0","-35833"
"工藤和也","0","0","0","0","0","0","0","0","0","0","-44000","0","-44000"
"アンビシャス東京法律事務所","0","0","0","0","0","0","0","0","0","0","0","-44000","-44000"
"株式会社ペライチ","0","0","0","0","0","-47282","0","0","0","0","0","0","-47282"
"一般社団法人ABLab","-5000","-5000","-5000","-5000","-5000","-5000","-5000","-5000","-5000","-5000","-5000","-5000","-60000"
"なつのロケット団","0","0","0","0","0","0","-10000","-10000","-10000","-10000","-10000","-10000","-60000"
